surrogate_id,activation,bin_id,moneyness_idx,maturity_idx,bin_label,n_points,price_mae_mean,price_mae_p95,price_mae_p99,delta_mae_mean,delta_mae_p95,delta_mae_p99
BS-3,swish,17,2,3,atm_medium,5000,0.0010177041321662273,0.0023670045658946044,0.004039430618286148,0.011623216589802178,0.035828059911727904,0.113504429906607
BS-3,swish,18,3,3,itm_medium,5000,0.0007486379921436309,0.0016433484852314004,0.002078993618488312,0.0066949378490447995,0.019722983241081238,0.03130622327327732
BS-3,swish,19,4,3,deep_itm_medium,5000,0.0009425894200801849,0.002331095933914185,0.0032614123821258553,0.007403891754150391,0.02157735228538514,0.03056408345699311
BS-3,swish,20,0,4,deep_otm_long,5000,0.00064417519896627,0.0015825151931494474,0.002522033285349608,0.005028103095925284,0.01713506860805865,0.025668660300507334
BS-3,swish,21,1,4,otm_long,5000,0.0009285086602484711,0.0020290940999984743,0.0033878129720687866,0.00677521639167594,0.020552024245262153,0.05340710539370793
BS-3,swish,22,2,4,atm_long,5000,0.0013079608933767304,0.002911919332109393,0.005049370918422946,0.006838773056864739,0.021517097949981693,0.08622299879789369
BS-3,swish,23,3,4,itm_long,5000,0.0012335283607244492,0.0026138901710510264,0.003999872803688057,0.0038290959358215334,0.0130472868680954,0.02719533681869508
BS-3,swish,24,4,4,deep_itm_long,5000,0.001537650614976883,0.003455722332000733,0.004560265541076671,0.005276085841655731,0.014162111282348636,0.019585404396057136
BS-4,tanh,0,0,0,deep_otm_weekly,5000,0.003490511719951914,0.009638733183965088,0.01150386061054178,0.021915717017833715,0.03991605041103448,0.05259910473600032
BS-4,tanh,1,1,0,otm_weekly,5000,0.0040450112950276935,0.00981740294955671,0.015212592985481034,0.06618887964314261,0.14511638209223748,0.1704920942336323
BS-4,tanh,2,2,0,atm_weekly,5000,0.011025404568486311,0.024674380011856557,0.030014576613903065,0.09919409896185773,0.2516660105902702,0.37336744129657806
BS-4,tanh,3,3,0,itm_weekly,5000,0.0075910315379500385,0.017911847680807114,0.024384952038526544,0.06382200528383256,0.11805163621902467,0.13259767949581147
BS-4,tanh,4,4,0,deep_itm_weekly,5000,0.003257222592830658,0.007943865656852723,0.009312039613723755,0.02003554949760437,0.06275381445884723,0.10357665121555332
BS-4,tanh,5,0,1,deep_otm_short,5000,0.002524681209212835,0.006400041378947209,0.008125060083402792,0.016016664900317067,0.03396900985389948,0.04076289029791952
BS-4,tanh,6,1,1,otm_short,5000,0.0022210813534046677,0.005350540392100811,0.008476946745067843,0.03720472556618776,0.07836822867393495,0.09458284690976149
BS-4,tanh,7,2,1,atm_short,5000,0.005257881441699159,0.012350029125809672,0.0166714319586754,0.05943072565097741,0.2125825118739158,0.3354213076829917
BS-4,tanh,8,3,1,itm_short,5000,0.00434446357190609,0.012561814486980438,0.01659671165049077,0.03212232539653778,0.07417912483215332,0.0973885715007782
BS-4,tanh,9,4,1,deep_itm_short,5000,0.0018647129118442535,0.004686801135540009,0.00596285492181778,0.015989573013782503,0.04900870919227605,0.09830197453498848
BS-4,tanh,10,0,2,deep_otm_medium_short,5000,0.001408867831635305,0.003641273244284094,0.004890135872410613,0.012992448078104244,0.030362463439814753,0.037242854200303585
BS-4,tanh,11,1,2,otm_medium_short,5000,0.0018778900088167276,0.0042266158387064936,0.005229112654924393,0.014032194820439247,0.04576239487989422,0.06346742347814147
BS-4,tanh,12,2,2,atm_medium_short,5000,0.002310345420064142,0.005603432189673186,0.009672171042766436,0.02680125825580521,0.14445024728775024,0.24116392448544555
BS-4,tanh,13,3,2,itm_medium_short,5000,0.002018506194651127,0.00559431686997414,0.010918213129043581,0.013824457442760467,0.05060236454010013,0.08203186750412005
BS-4,tanh,14,4,2,deep_itm_medium_short,5000,0.0016617493212223054,0.00436895489692688,0.00645619153976441,0.014332999765872956,0.03420812487602234,0.08281281173229241
BS-4,tanh,15,0,3,deep_otm_medium,5000,0.001405096987935695,0.0027952157211529995,0.004039531685411931,0.013219277022097364,0.029249237559270117,0.03526540250051768
BS-4,tanh,16,1,3,otm_medium,5000,0.0011067403850537807,0.0026092475978657607,0.004045352190732967,0.012618256438519502,0.03062614984810355,0.07074377611279506
BS-4,tanh,17,2,3,atm_medium,5000,0.001070477317941777,0.0033468531444668776,0.008237274899147452,0.015358990466111572,0.05884726941585541,0.16980630725622242
BS-4,tanh,18,3,3,itm_medium,5000,0.0012943568229675294,0.003252311050891877,0.004029021263122559,0.009964920377731324,0.03139618933200837,0.05105210721492767
BS-4,tanh,19,4,3,deep_itm_medium,5000,0.001936188679933548,0.004873323440551758,0.006535018086433421,0.014816606462001801,0.03705622851848602,0.08126612365245826
BS-4,tanh,20,0,4,deep_otm_long,5000,0.0009158308825437425,0.0021463408546242863,0.003396615646779543,0.010813857129414007,0.02526459572836757,0.033498073108992756
BS-4,tanh,21,1,4,otm_long,5000,0.0009666284834094046,0.0026244935797876687,0.00556107791140676,0.011930794809938479,0.032927063950774035,0.10826106846332555
BS-4,tanh,22,2,4,atm_long,5000,0.001344815074536018,0.00359601229429245,0.009382965862751036,0.012851429763436317,0.03887260332703595,0.135553469657898
BS-4,tanh,23,3,4,itm_long,5000,0.0018054407730698585,0.0038054302334785462,0.004575447738170624,0.009107904160022736,0.027037361264228822,0.04168154537677771
BS-4,tanh,24,4,4,deep_itm_long,5000,0.0026989336669445037,0.005763348937034608,0.008861376047134412,0.022026273441314696,0.08908905386924744,0.23503553450107592
